,dataset,k,r,w,v,reduction,acc,eff,storage
0,vowel,1,1,eq,maj,,0.9595959595959596,0.03989291191101074,1
0,vowel,1,1,eq,maj,,1.0,0.037897586822509766,1
0,vowel,1,1,eq,maj,,0.98989898989899,0.04188799858093262,1
0,vowel,1,1,eq,maj,,1.0,0.03889608383178711,1
0,vowel,1,1,eq,maj,,0.98989898989899,0.03191423416137695,1
0,vowel,1,1,eq,maj,,0.9797979797979798,0.030916690826416016,1
0,vowel,1,1,eq,maj,,1.0,0.03593850135803223,1
0,vowel,1,1,eq,maj,,0.98989898989899,0.0359034538269043,1
0,vowel,1,1,eq,maj,,0.98989898989899,0.03892397880554199,1
0,vowel,1,1,eq,maj,,0.98989898989899,0.03493833541870117,1
0,vowel,1,1,eq,inv,,0.9595959595959596,0.036897897720336914,1
0,vowel,1,1,eq,inv,,1.0,0.03490591049194336,1
0,vowel,1,1,eq,inv,,0.98989898989899,0.03493809700012207,1
0,vowel,1,1,eq,inv,,1.0,0.037912845611572266,1
0,vowel,1,1,eq,inv,,0.98989898989899,0.0359034538269043,1
0,vowel,1,1,eq,inv,,0.9797979797979798,0.039887189865112305,1
0,vowel,1,1,eq,inv,,1.0,0.03689980506896973,1
0,vowel,1,1,eq,inv,,0.98989898989899,0.03291130065917969,1
0,vowel,1,1,eq,inv,,0.98989898989899,0.039893388748168945,1
0,vowel,1,1,eq,inv,,0.98989898989899,0.04088783264160156,1
0,vowel,1,1,eq,shep,,0.9595959595959596,0.0388948917388916,1
0,vowel,1,1,eq,shep,,1.0,0.03789806365966797,1
0,vowel,1,1,eq,shep,,0.98989898989899,0.03789949417114258,1
0,vowel,1,1,eq,shep,,1.0,0.035898685455322266,1
0,vowel,1,1,eq,shep,,0.98989898989899,0.03590130805969238,1
0,vowel,1,1,eq,shep,,0.9797979797979798,0.03789830207824707,1
0,vowel,1,1,eq,shep,,1.0,0.035938262939453125,1
0,vowel,1,1,eq,shep,,0.98989898989899,0.03689718246459961,1
0,vowel,1,1,eq,shep,,0.98989898989899,0.03793215751647949,1
0,vowel,1,1,eq,shep,,0.98989898989899,0.03789567947387695,1
0,vowel,1,1,mi,maj,,0.98989898989899,0.19149160385131836,1
0,vowel,1,1,mi,maj,,0.98989898989899,0.1775531768798828,1
0,vowel,1,1,mi,maj,,1.0,0.182539701461792,1
0,vowel,1,1,mi,maj,,0.98989898989899,0.1775209903717041,1
0,vowel,1,1,mi,maj,,0.98989898989899,0.1874985694885254,1
0,vowel,1,1,mi,maj,,0.9797979797979798,0.17649602890014648,1
0,vowel,1,1,mi,maj,,0.98989898989899,0.18254590034484863,1
0,vowel,1,1,mi,maj,,1.0,0.17852234840393066,1
0,vowel,1,1,mi,maj,,0.98989898989899,0.1825096607208252,1
0,vowel,1,1,mi,maj,,0.9797979797979798,0.18548369407653809,1
0,vowel,1,1,mi,inv,,0.98989898989899,0.17655682563781738,1
0,vowel,1,1,mi,inv,,0.98989898989899,0.18746685981750488,1
0,vowel,1,1,mi,inv,,1.0,0.17853522300720215,1
0,vowel,1,1,mi,inv,,0.98989898989899,0.1874985694885254,1
0,vowel,1,1,mi,inv,,0.98989898989899,0.17758417129516602,1
0,vowel,1,1,mi,inv,,0.9797979797979798,0.18450570106506348,1
0,vowel,1,1,mi,inv,,0.98989898989899,0.1825122833251953,1
0,vowel,1,1,mi,inv,,1.0,0.18353819847106934,1
0,vowel,1,1,mi,inv,,0.98989898989899,0.17849087715148926,1
0,vowel,1,1,mi,inv,,0.9797979797979798,0.18154239654541016,1
0,vowel,1,1,mi,shep,,0.98989898989899,0.176527738571167,1
0,vowel,1,1,mi,shep,,0.98989898989899,0.19547247886657715,1
0,vowel,1,1,mi,shep,,1.0,0.17649435997009277,1
0,vowel,1,1,mi,shep,,0.98989898989899,0.18949222564697266,1
0,vowel,1,1,mi,shep,,0.98989898989899,0.17649340629577637,1
0,vowel,1,1,mi,shep,,0.9797979797979798,0.18646526336669922,1
0,vowel,1,1,mi,shep,,0.98989898989899,0.17849397659301758,1
0,vowel,1,1,mi,shep,,1.0,0.17951130867004395,1
0,vowel,1,1,mi,shep,,0.98989898989899,0.18051695823669434,1
0,vowel,1,1,mi,shep,,0.9797979797979798,0.18151378631591797,1
0,vowel,1,1,chi,maj,,0.9797979797979798,0.045905351638793945,1
0,vowel,1,1,chi,maj,,0.9595959595959596,0.037914276123046875,1
0,vowel,1,1,chi,maj,,0.98989898989899,0.0388643741607666,1
0,vowel,1,1,chi,maj,,0.9797979797979798,0.03789710998535156,1
0,vowel,1,1,chi,maj,,1.0,0.03790140151977539,1
0,vowel,1,1,chi,maj,,0.98989898989899,0.036896467208862305,1
0,vowel,1,1,chi,maj,,0.98989898989899,0.03888726234436035,1
0,vowel,1,1,chi,maj,,1.0,0.036905765533447266,1
0,vowel,1,1,chi,maj,,0.98989898989899,0.03889584541320801,1
0,vowel,1,1,chi,maj,,0.9797979797979798,0.036866188049316406,1
0,vowel,1,1,chi,inv,,0.9797979797979798,0.03792572021484375,1
0,vowel,1,1,chi,inv,,0.9595959595959596,0.04190969467163086,1
0,vowel,1,1,chi,inv,,0.98989898989899,0.040946245193481445,1
0,vowel,1,1,chi,inv,,0.9797979797979798,0.038874149322509766,1
0,vowel,1,1,chi,inv,,1.0,0.03596973419189453,1
0,vowel,1,1,chi,inv,,0.98989898989899,0.0359034538269043,1
0,vowel,1,1,chi,inv,,0.98989898989899,0.03792715072631836,1
0,vowel,1,1,chi,inv,,1.0,0.033905982971191406,1
0,vowel,1,1,chi,inv,,0.98989898989899,0.04091024398803711,1
0,vowel,1,1,chi,inv,,0.9797979797979798,0.038863182067871094,1
0,vowel,1,1,chi,shep,,0.9797979797979798,0.04088950157165527,1
0,vowel,1,1,chi,shep,,0.9595959595959596,0.03989243507385254,1
0,vowel,1,1,chi,shep,,0.98989898989899,0.03989362716674805,1
0,vowel,1,1,chi,shep,,0.9797979797979798,0.03989219665527344,1
0,vowel,1,1,chi,shep,,1.0,0.040889739990234375,1
0,vowel,1,1,chi,shep,,0.98989898989899,0.03690075874328613,1
0,vowel,1,1,chi,shep,,0.98989898989899,0.03590965270996094,1
0,vowel,1,1,chi,shep,,1.0,0.037927865982055664,1
0,vowel,1,1,chi,shep,,0.98989898989899,0.039888620376586914,1
0,vowel,1,1,chi,shep,,0.9797979797979798,0.03589940071105957,1
0,vowel,1,1.5,eq,maj,,0.9595959595959596,0.07277226448059082,1
0,vowel,1,1.5,eq,maj,,0.98989898989899,0.07779169082641602,1
0,vowel,1,1.5,eq,maj,,0.98989898989899,0.07975554466247559,1
0,vowel,1,1.5,eq,maj,,1.0,0.0718393325805664,1
0,vowel,1,1.5,eq,maj,,1.0,0.07178378105163574,1
0,vowel,1,1.5,eq,maj,,0.9797979797979798,0.07779169082641602,1
0,vowel,1,1.5,eq,maj,,1.0,0.0738828182220459,1
0,vowel,1,1.5,eq,maj,,1.0,0.07687926292419434,1
0,vowel,1,1.5,eq,maj,,0.98989898989899,0.07080602645874023,1
0,vowel,1,1.5,eq,maj,,0.98989898989899,0.07086014747619629,1
0,vowel,1,1.5,eq,inv,,0.9595959595959596,0.07280397415161133,1
0,vowel,1,1.5,eq,inv,,0.98989898989899,0.07380509376525879,1
0,vowel,1,1.5,eq,inv,,0.98989898989899,0.0718376636505127,1
0,vowel,1,1.5,eq,inv,,1.0,0.07280993461608887,1
0,vowel,1,1.5,eq,inv,,1.0,0.07579660415649414,1
0,vowel,1,1.5,eq,inv,,0.9797979797979798,0.07387399673461914,1
0,vowel,1,1.5,eq,inv,,1.0,0.07579612731933594,1
0,vowel,1,1.5,eq,inv,,1.0,0.07280588150024414,1
0,vowel,1,1.5,eq,inv,,0.98989898989899,0.07484793663024902,1
0,vowel,1,1.5,eq,inv,,0.98989898989899,0.07683634757995605,1
0,vowel,1,1.5,eq,shep,,0.9595959595959596,0.07876205444335938,1
0,vowel,1,1.5,eq,shep,,0.98989898989899,0.07682490348815918,1
0,vowel,1,1.5,eq,shep,,0.98989898989899,0.07588768005371094,1
0,vowel,1,1.5,eq,shep,,1.0,0.07584977149963379,1
0,vowel,1,1.5,eq,shep,,1.0,0.07280278205871582,1
0,vowel,1,1.5,eq,shep,,0.9797979797979798,0.07778501510620117,1
0,vowel,1,1.5,eq,shep,,1.0,0.07184576988220215,1
0,vowel,1,1.5,eq,shep,,1.0,0.0729227066040039,1
0,vowel,1,1.5,eq,shep,,0.98989898989899,0.0747988224029541,1
0,vowel,1,1.5,eq,shep,,0.98989898989899,0.07280206680297852,1
0,vowel,1,1.5,mi,maj,,0.98989898989899,0.23636794090270996,1
0,vowel,1,1.5,mi,maj,,1.0,0.2324061393737793,1
0,vowel,1,1.5,mi,maj,,1.0,0.22644948959350586,1
0,vowel,1,1.5,mi,maj,,1.0,0.22239208221435547,1
0,vowel,1,1.5,mi,maj,,1.0,0.2284538745880127,1
0,vowel,1,1.5,mi,maj,,0.9696969696969697,0.22739291191101074,1
0,vowel,1,1.5,mi,maj,,1.0,0.22938251495361328,1
0,vowel,1,1.5,mi,maj,,1.0,0.21738719940185547,1
0,vowel,1,1.5,mi,maj,,1.0,0.2433488368988037,1
0,vowel,1,1.5,mi,maj,,0.98989898989899,0.23140835762023926,1
0,vowel,1,1.5,mi,inv,,0.98989898989899,0.2163987159729004,1
0,vowel,1,1.5,mi,inv,,1.0,0.22037649154663086,1
0,vowel,1,1.5,mi,inv,,1.0,0.21941328048706055,1
0,vowel,1,1.5,mi,inv,,1.0,0.2184147834777832,1
0,vowel,1,1.5,mi,inv,,1.0,0.22340178489685059,1
0,vowel,1,1.5,mi,inv,,0.9696969696969697,0.21848392486572266,1
0,vowel,1,1.5,mi,inv,,0.98989898989899,0.22046589851379395,1
0,vowel,1,1.5,mi,inv,,1.0,0.21339106559753418,1
0,vowel,1,1.5,mi,inv,,1.0,0.22436976432800293,1
0,vowel,1,1.5,mi,inv,,0.98989898989899,0.22040343284606934,1
0,vowel,1,1.5,mi,shep,,0.98989898989899,0.22339534759521484,1
0,vowel,1,1.5,mi,shep,,1.0,0.2154231071472168,1
0,vowel,1,1.5,mi,shep,,1.0,0.22040557861328125,1
0,vowel,1,1.5,mi,shep,,1.0,0.21357250213623047,1
