,dataset,k,r,w,v,reduction,acc,eff,storage
0,vowel,1,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.9797979797979798,0.2523629665374756,0.9887766554433222
0,vowel,1,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.98989898989899,0.2244281768798828,0.9876543209876543
0,vowel,1,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.9797979797979798,0.21852684020996094,0.98989898989899
0,vowel,1,1.5,mi,maj,<function menn at 0x0000012D914D9158>,1.0,0.22536182403564453,0.98989898989899
0,vowel,1,1.5,mi,maj,<function menn at 0x0000012D914D9158>,1.0,0.2274162769317627,0.9854096520763187
0,vowel,1,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.9696969696969697,0.22740888595581055,0.9921436588103255
0,vowel,1,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.98989898989899,0.2164154052734375,0.9876543209876543
0,vowel,1,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.9797979797979798,0.21548771858215332,0.9887766554433222
0,vowel,1,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.9797979797979798,0.21944832801818848,0.9887766554433222
0,vowel,1,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.9696969696969697,0.21938419342041016,0.9876543209876543
0,vowel,3,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.9292929292929293,0.19650650024414062,0.8698092031425365
0,vowel,3,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.8585858585858586,0.19048690795898438,0.8731762065095399
0,vowel,3,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.8686868686868687,0.1904616355895996,0.8709315375982043
0,vowel,3,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.9393939393939394,0.18752646446228027,0.8597081930415263
0,vowel,3,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.8181818181818182,0.1844782829284668,0.8473625140291807
0,vowel,3,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.8888888888888888,0.18946146965026855,0.8698092031425365
0,vowel,3,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.898989898989899,0.19046306610107422,0.8585858585858586
0,vowel,3,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.8686868686868687,0.18651413917541504,0.8630751964085297
0,vowel,3,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.9090909090909091,0.18750452995300293,0.8709315375982043
0,vowel,3,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.9191919191919192,0.18649935722351074,0.8709315375982043
0,vowel,5,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.7575757575757576,0.15159368515014648,0.531986531986532
0,vowel,5,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.6464646464646465,0.16655445098876953,0.5679012345679012
0,vowel,5,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.696969696969697,0.16954398155212402,0.5611672278338945
0,vowel,5,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.696969696969697,0.1576097011566162,0.5420875420875421
0,vowel,5,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.5959595959595959,0.1675548553466797,0.5802469135802469
0,vowel,5,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.696969696969697,0.15455842018127441,0.5589225589225589
0,vowel,5,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.6565656565656566,0.16558408737182617,0.5959595959595959
0,vowel,5,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.6060606060606061,0.1575782299041748,0.55331088664422
0,vowel,5,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.6868686868686869,0.15755009651184082,0.5645342312008979
0,vowel,5,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.6767676767676768,0.15860462188720703,0.5645342312008979
0,vowel,7,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.494949494949495,0.13065314292907715,0.2615039281705948
0,vowel,7,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.47474747474747475,0.14557814598083496,0.2760942760942761
0,vowel,7,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.5050505050505051,0.15059685707092285,0.2570145903479237
0,vowel,7,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.5656565656565656,0.11366748809814453,0.2547699214365881
0,vowel,7,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.5050505050505051,0.12263774871826172,0.27497194163860833
0,vowel,7,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.5858585858585859,0.12764859199523926,0.265993265993266
0,vowel,7,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.5757575757575758,0.11565852165222168,0.2570145903479237
0,vowel,7,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.494949494949495,0.13862919807434082,0.2727272727272727
0,vowel,7,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.6161616161616161,0.12270474433898926,0.2615039281705948
0,vowel,7,1.5,mi,maj,<function menn at 0x0000012D914D9158>,0.46464646464646464,0.12965750694274902,0.27497194163860833
