,dataset,k,r,w,v,reduction,acc,eff,storage
0,satimage,5,1,eq,shep,<function fcnn at 0x0000012D914D1F28>,0.880248833592535,0.24039125442504883,0.18404696132596685
0,satimage,5,1,eq,shep,<function fcnn at 0x0000012D914D1F28>,0.9144634525660964,0.2543199062347412,0.18767265193370167
0,satimage,5,1,eq,shep,<function fcnn at 0x0000012D914D1F28>,0.889922480620155,0.2504701614379883,0.185146804835924
0,satimage,5,1,eq,shep,<function fcnn at 0x0000012D914D1F28>,0.9129082426127527,0.24740195274353027,0.1842196132596685
0,satimage,5,1,eq,shep,<function fcnn at 0x0000012D914D1F28>,0.9143302180685359,0.26430749893188477,0.1890212325220093
0,satimage,5,1,eq,shep,<function fcnn at 0x0000012D914D1F28>,0.8992248062015504,0.2702453136444092,0.18272884283246976
0,satimage,5,1,eq,shep,<function fcnn at 0x0000012D914D1F28>,0.9191290824261276,0.24540472030639648,0.1875
0,satimage,5,1,eq,shep,<function fcnn at 0x0000012D914D1F28>,0.9009287925696594,0.2603037357330322,0.18552427016755915
0,satimage,5,1,eq,shep,<function fcnn at 0x0000012D914D1F28>,0.8864696734059098,0.24040627479553223,0.18439226519337015
0,satimage,5,1,eq,shep,<function fcnn at 0x0000012D914D1F28>,0.9096573208722741,0.25631070137023926,0.18660452269981012
