,dataset,k,r,w,v,reduction,acc,eff,storage
0,satimage,1,1,eq,shep,<function menn at 0x0000017A49369158>,0.8989113530326595,1.807166337966919,0.9043508287292817
0,satimage,1,1,eq,shep,<function menn at 0x0000017A49369158>,0.9097978227060654,1.7565534114837646,0.9043508287292817
0,satimage,1,1,eq,shep,<function menn at 0x0000017A49369158>,0.9147286821705426,1.7388551235198975,0.9027633851468049
0,satimage,3,1,eq,shep,<function menn at 0x0000017A49369158>,0.8864696734059098,1.5817654132843018,0.8002417127071824
0,satimage,3,1,eq,shep,<function menn at 0x0000017A49369158>,0.9066874027993779,1.545832633972168,0.8002417127071824
0,satimage,3,1,eq,shep,<function menn at 0x0000017A49369158>,0.889922480620155,1.5439026355743408,0.7994818652849741
0,satimage,5,1,eq,shep,<function menn at 0x0000017A49369158>,0.8786936236391913,1.4989583492279053,0.7486187845303868
0,satimage,5,1,eq,shep,<function menn at 0x0000017A49369158>,0.9035769828926905,1.4571027755737305,0.7420580110497238
0,satimage,5,1,eq,shep,<function menn at 0x0000017A49369158>,0.8697674418604651,1.501983880996704,0.7461139896373057
0,satimage,7,1,eq,shep,<function menn at 0x0000017A49369158>,0.8709175738724728,1.3893043994903564,0.7073549723756906
0,satimage,7,1,eq,shep,<function menn at 0x0000017A49369158>,0.9004665629860031,1.4082326889038086,0.7068370165745856
0,satimage,7,1,eq,shep,<function menn at 0x0000017A49369158>,0.8573643410852713,1.3992581367492676,0.7070811744386873
