,dataset,k,r,w,v,reduction,acc,eff,storage
0,vowel,1,1.5,mi,maj,<function fcnn at 0x0000012D914D1F28>,0.9090909090909091,0.1296250820159912,0.23007856341189675
0,vowel,1,1.5,mi,maj,<function fcnn at 0x0000012D914D1F28>,0.9393939393939394,0.12067723274230957,0.21997755331088664
0,vowel,1,1.5,mi,maj,<function fcnn at 0x0000012D914D1F28>,0.8686868686868687,0.11964797973632812,0.23681257014590348
0,vowel,1,1.5,mi,maj,<function fcnn at 0x0000012D914D1F28>,0.9090909090909091,0.11669278144836426,0.22109988776655443
0,vowel,1,1.5,mi,maj,<function fcnn at 0x0000012D914D1F28>,0.9595959595959596,0.1196753978729248,0.22783389450056116
0,vowel,1,1.5,mi,maj,<function fcnn at 0x0000012D914D1F28>,0.9595959595959596,0.15059709548950195,0.21885521885521886
0,vowel,1,1.5,mi,maj,<function fcnn at 0x0000012D914D1F28>,0.8686868686868687,0.12569594383239746,0.22109988776655443
0,vowel,1,1.5,mi,maj,<function fcnn at 0x0000012D914D1F28>,0.9595959595959596,0.12865567207336426,0.22109988776655443
0,vowel,1,1.5,mi,maj,<function fcnn at 0x0000012D914D1F28>,0.8282828282828283,0.12765741348266602,0.22334455667789002
0,vowel,1,1.5,mi,maj,<function fcnn at 0x0000012D914D1F28>,0.8787878787878788,0.11971139907836914,0.2222222222222222
