,dataset,k,r,w,v,reduction,acc,eff,storage
0,vowel,1,1.5,mi,maj,<function menn at 0x000001D31C409048>,0.9797979797979798,0.26750802993774414,0.9887766554433222
0,vowel,1,1.5,mi,maj,<function menn at 0x000001D31C409048>,0.98989898989899,0.21941351890563965,0.9876543209876543
0,vowel,1,1.5,mi,maj,<function menn at 0x000001D31C409048>,0.9797979797979798,0.2224290370941162,0.98989898989899
0,vowel,1,1.5,mi,maj,<function menn at 0x000001D31C409048>,0.9797979797979798,0.2174079418182373,0.9887766554433222
0,vowel,1,1.5,mi,maj,<function menn at 0x000001D31C409048>,0.98989898989899,0.21940875053405762,0.9876543209876543
0,vowel,1,1.5,mi,maj,<function menn at 0x000001D31C409048>,0.9797979797979798,0.2184438705444336,0.98989898989899
0,vowel,1,1.5,mi,maj,<function menn at 0x000001D31C409048>,0.9797979797979798,0.21649432182312012,0.9887766554433222
0,vowel,1,1.5,mi,maj,<function menn at 0x000001D31C409048>,0.98989898989899,0.22041058540344238,0.9876543209876543
0,vowel,1,1.5,mi,maj,<function menn at 0x000001D31C409048>,0.9797979797979798,0.21439790725708008,0.98989898989899
0,vowel,1,1.5,mi,maj,<function menn at 0x000001D31C409048>,0.9797979797979798,0.21143865585327148,0.9887766554433222
0,vowel,1,1.5,mi,maj,<function menn at 0x000001D31C409048>,0.98989898989899,0.21446633338928223,0.9876543209876543
0,vowel,1,1.5,mi,maj,<function menn at 0x000001D31C409048>,0.9797979797979798,0.2134571075439453,0.98989898989899
